SPACEPORT_REC_ID,POLYGON_ID,Interaction
2,106959,Intersect
2,106960,Intersect
2,106961,Intersect
2,106965,Intersect
2,106966,Intersect
2,106977,Intersect
2,106979,Intersect
2,106981,Intersect
2,106982,Intersect
2,106983,Intersect
2,106988,Intersect
2,107682,Intersect
2,113300,Intersect
2,113301,Intersect
2,113302,Intersect
2,113307,Intersect
2,113308,Intersect
2,113309,Intersect
2,113310,Intersect
2,113315,Intersect
2,113377,Intersect
2,113378,Intersect
2,113380,Intersect
2,113389,Intersect
2,113390,Intersect
2,113526,Intersect
2,113527,Intersect
2,113537,Intersect
2,113538,Intersect
2,113539,Intersect
2,113544,Intersect
2,113557,Intersect
2,113558,Intersect
2,113559,Intersect
2,113564,Intersect
2,113565,Intersect
2,113566,Intersect
2,113567,Intersect
2,113572,Intersect
2,114532,Intersect
2,114533,Intersect
2,114535,Intersect
2,114593,Intersect
2,114594,Intersect
2,114699,Intersect
2,114700,Intersect
2,114701,Intersect
2,114706,Intersect
2,114707,Intersect
2,114708,Intersect
2,114709,Intersect
2,114714,Intersect
2,114731,Intersect
2,114732,Intersect
2,114733,Intersect
2,114738,Intersect
2,114739,Intersect
2,114740,Intersect
2,114741,Intersect
2,114746,Intersect
2,121950,Intersect
2,121951,Intersect
2,121952,Intersect
2,121953,Intersect
2,121954,Intersect
2,121955,Intersect
2,121956,Intersect
2,121986,Intersect
2,121987,Intersect
2,121988,Intersect
2,122007,Intersect
2,122008,Intersect
2,122499,Intersect
2,122500,Intersect
2,122501,Intersect
2,122508,Intersect
2,122509,Intersect
2,122510,Intersect
2,122521,Intersect
2,122530,Intersect
2,122531,Intersect
2,122532,Intersect
2,122533,Intersect
2,122534,Intersect
2,125250,Intersect
2,130224,Intersect
2,132104,Intersect
2,136505,Intersect
2,136506,Intersect
2,136580,Intersect
2,136581,Intersect
2,136591,Intersect
2,136592,Intersect
2,136593,Intersect
2,136598,Intersect
2,136599,Intersect
2,136600,Intersect
2,136602,Intersect
2,136603,Intersect
2,136604,Intersect
2,136607,Intersect
2,136608,Intersect
2,136609,Intersect
2,136614,Intersect
2,136615,Intersect
2,136616,Intersect
2,136617,Intersect
2,136622,Intersect
2,136623,Intersect
2,136624,Intersect
2,136627,Intersect
2,136628,Intersect
2,136629,Intersect
2,136634,Intersect
2,136750,Intersect
2,136751,Intersect
2,136752,Intersect
2,136757,Intersect
2,136758,Intersect
2,136759,Intersect
2,136760,Intersect
2,136765,Intersect
2,137747,Intersect
2,137748,Intersect
2,137749,Intersect
2,137754,Intersect
2,137755,Intersect
2,137756,Intersect
2,137757,Intersect
2,137762,Intersect
2,140369,Intersect
2,140371,Intersect
2,140574,Intersect
2,143396,Intersect
2,145596,Intersect
2,146583,Intersect
2,146647,Intersect
2,146682,Intersect
2,146961,Intersect
2,149630,Intersect
2,150581,Intersect
2,150606,Intersect
2,150607,Intersect
2,150609,Intersect
2,150864,Intersect
2,150865,Intersect
2,150867,Intersect
2,150882,Intersect
2,150883,Intersect
2,150885,Intersect
2,150886,Intersect
2,150887,Intersect
2,150889,Intersect
2,152364,Intersect
2,152365,Intersect
2,153955,Intersect
2,153956,Intersect
2,153957,Intersect
2,153962,Intersect
2,153963,Intersect
2,153964,Intersect
2,153965,Intersect
2,153970,Intersect
2,155451,Intersect
2,155452,Intersect
2,155454,Intersect
2,155469,Intersect
2,155470,Intersect
2,155483,Intersect
2,155484,Intersect
2,155543,Intersect
2,155544,Intersect
2,155545,Intersect
2,155550,Intersect
2,155551,Intersect
2,155552,Intersect
2,155553,Intersect
2,155558,Intersect
2,155580,Intersect
2,155581,Intersect
2,155582,Intersect
2,155587,Intersect
2,155588,Intersect
2,155589,Intersect
2,155590,Intersect
2,155595,Intersect
2,155621,Intersect
2,155622,Intersect
2,155625,Intersect
2,155626,Intersect
2,155628,Intersect
2,155637,Intersect
2,155644,Intersect
2,155645,Intersect
2,155646,Intersect
2,155651,Intersect
2,155652,Intersect
2,155653,Intersect
2,155654,Intersect
2,155659,Intersect
2,155660,Intersect
2,155661,Intersect
2,157215,Intersect
2,158199,Intersect
2,158200,Intersect
2,158202,Intersect
2,158259,Intersect
2,158260,Intersect
2,158261,Intersect
2,158266,Intersect
2,158267,Intersect
2,158268,Intersect
2,158269,Intersect
2,158274,Intersect
2,158275,Intersect
2,158276,Intersect
2,158277,Intersect
2,158282,Intersect
2,158283,Intersect
2,158284,Intersect
2,158285,Intersect
2,158290,Intersect
2,158320,Intersect
2,158321,Intersect
2,158343,Intersect
2,158344,Intersect
2,159682,Intersect
2,159683,Intersect
2,160973,Intersect
2,160974,Intersect
2,160975,Intersect
2,160980,Intersect
2,160981,Intersect
2,160982,Intersect
2,160983,Intersect
2,160988,Intersect
2,160991,Intersect
2,160992,Intersect
2,160993,Intersect
2,160998,Intersect
2,160999,Intersect
2,161000,Intersect
2,161001,Intersect
2,161006,Intersect
2,161224,Intersect
2,161225,Intersect
2,161335,Intersect
2,161336,Intersect
2,161343,Intersect
2,161344,Intersect
2,161347,Intersect
2,161348,Intersect
2,161349,Intersect
2,161354,Intersect
2,161355,Intersect
2,161356,Intersect
2,161357,Intersect
2,161362,Intersect
2,161363,Intersect
2,161364,Intersect
2,161371,Intersect
2,161372,Intersect
2,161374,Intersect
2,161390,Intersect
2,161391,Intersect
2,161394,Intersect
2,161395,Intersect
2,161396,Intersect
2,161401,Intersect
2,161402,Intersect
2,161403,Intersect
2,161406,Intersect
2,161407,Intersect
2,161408,Intersect
2,161413,Intersect
2,161415,Intersect
2,161416,Intersect
2,161418,Intersect
2,164193,Intersect
2,164482,Intersect
2,164493,Intersect
2,164560,Intersect
2,164561,Intersect
2,164563,Intersect
2,164673,Intersect
2,164674,Intersect
2,164691,Intersect
2,164692,Intersect
2,164693,Intersect
2,164698,Intersect
2,164699,Intersect
2,164700,Intersect
2,164701,Intersect
2,164706,Intersect
2,164707,Intersect
2,164708,Intersect
2,164711,Intersect
2,164712,Intersect
2,164713,Intersect
2,164718,Intersect
2,164719,Intersect
2,164720,Intersect
2,164721,Intersect
2,164726,Intersect
2,165437,Intersect
2,165438,Intersect
2,165439,Intersect
2,165444,Intersect
2,165445,Intersect
2,165446,Intersect
2,165447,Intersect
2,165452,Intersect
2,165472,Intersect
2,165473,Intersect
2,165474,Intersect
2,165475,Intersect
2,165476,Intersect
2,165477,Intersect
2,166249,Intersect
2,166250,Intersect
2,166389,Intersect
2,166390,Intersect
2,166393,Intersect
2,166394,Intersect
2,166395,Intersect
2,166400,Intersect
2,166401,Intersect
2,166402,Intersect
2,166404,Intersect
2,166405,Intersect
2,166406,Intersect
2,166409,Intersect
2,166410,Intersect
2,166411,Intersect
2,166416,Intersect
2,167013,Intersect
2,167014,Intersect
2,167015,Intersect
2,167020,Intersect
2,167021,Intersect
2,167022,Intersect
2,167023,Intersect
2,167028,Intersect
2,170000,Intersect
2,170001,Intersect
2,170358,Intersect
2,170359,Intersect
2,170360,Intersect
2,170365,Intersect
2,170366,Intersect
2,170367,Intersect
2,170368,Intersect
2,170373,Intersect
2,172733,Intersect
2,176357,Intersect
2,176358,Intersect
2,176454,Intersect
2,176456,Intersect
2,176458,Intersect
2,176459,Intersect
2,176460,Intersect
2,176465,Intersect
2,176466,Intersect
2,176467,Intersect
2,176468,Intersect
2,176473,Intersect
2,176474,Intersect
2,176475,Intersect
2,176476,Intersect
2,176481,Intersect
2,176482,Intersect
2,176483,Intersect
2,176484,Intersect
2,176489,Intersect
2,176491,Intersect
2,176492,Intersect
2,176494,Intersect
2,176514,Intersect
2,176515,Intersect
2,176517,Intersect
2,176518,Intersect
2,176519,Intersect
2,176521,Intersect
2,176522,Intersect
2,176523,Intersect
2,176525,Intersect
2,176526,Intersect
2,176527,Intersect
2,176529,Intersect
2,176531,Intersect
2,176532,Intersect
2,176533,Intersect
2,176538,Intersect
2,176546,Intersect
2,176547,Intersect
2,176548,Intersect
2,176553,Intersect
2,176554,Intersect
2,176555,Intersect
2,176556,Intersect
2,176561,Intersect
2,176565,Intersect
2,176566,Intersect
2,176567,Intersect
2,176572,Intersect
2,176578,Intersect
2,176579,Intersect
2,176590,Intersect
2,176591,Intersect
2,176593,Intersect
2,177462,Intersect
2,177492,Intersect
2,177631,Intersect
2,179958,Intersect
2,179959,Intersect
2,179960,Intersect
2,179962,Intersect
2,179963,Intersect
2,179965,Intersect
2,179966,Intersect
2,179970,Intersect
2,183892,Intersect
2,185168,Intersect
2,188828,Intersect
2,188829,Intersect
2,192463,Intersect
2,192464,Intersect
2,192716,Intersect
2,192717,Intersect
2,192718,Intersect
2,192723,Intersect
2,192724,Intersect
2,192725,Intersect
2,192726,Intersect
2,192731,Intersect
2,194511,Intersect
2,196663,Intersect
2,199076,Intersect
2,199077,Intersect
2,199577,Intersect
2,199751,Intersect
2,200066,Intersect
2,200067,Intersect
2,200154,Intersect
2,200155,Intersect
2,200156,Intersect
2,200157,Intersect
2,200239,Intersect
2,200240,Intersect
2,200241,Intersect
2,200246,Intersect
2,200247,Intersect
2,200248,Intersect
2,200249,Intersect
2,200254,Intersect
2,200261,Intersect
2,200262,Intersect
2,200263,Intersect
2,200268,Intersect
2,200269,Intersect
2,200270,Intersect
2,200271,Intersect
2,200276,Intersect
2,202323,Intersect
2,202324,Intersect
2,202818,Intersect
2,202819,Intersect
2,203512,Intersect
2,204274,Intersect
2,204275,Intersect
2,204314,Intersect
2,204315,Intersect
2,204317,Intersect
2,204325,Intersect
2,204326,Intersect
2,204329,Intersect
2,204330,Intersect
2,204339,Intersect
2,204340,Intersect
2,204341,Intersect
2,204346,Intersect
2,204509,Intersect
2,204510,Intersect
2,204511,Intersect
2,204512,Intersect
2,204513,Intersect
2,204514,Intersect
2,204515,Intersect
2,204516,Intersect
2,204517,Intersect
2,204518,Intersect
2,204519,Intersect
2,204520,Intersect
2,205249,Intersect
2,205250,Intersect
2,206636,Intersect
2,206637,Intersect
2,206638,Intersect
2,206639,Intersect
2,206640,Intersect
2,206641,Intersect
2,206661,Intersect
2,206662,Intersect
2,206663,Intersect
2,206664,Intersect
2,206665,Intersect
2,206666,Intersect
2,207366,Intersect
2,207367,Intersect
2,210462,Intersect
2,210463,Intersect
2,210464,Intersect
2,210465,Intersect
2,210466,Intersect
2,210467,Intersect
2,210504,Intersect
2,210505,Intersect
2,210506,Intersect
2,210507,Intersect
2,210508,Intersect
2,210509,Intersect
2,211518,Intersect
2,211519,Intersect
2,211521,Intersect
2,211522,Intersect
2,211925,Intersect
2,211926,Intersect
2,213087,Intersect
2,213088,Intersect
2,213108,Intersect
2,213109,Intersect
2,213576,Intersect
2,214157,Intersect
2,214271,Intersect
2,216455,Intersect
2,217193,Intersect
2,217631,Intersect
2,217632,Intersect
2,217633,Intersect
2,217638,Intersect
2,217639,Intersect
2,217640,Intersect
2,217641,Intersect
2,217646,Intersect
2,217654,Intersect
2,217655,Intersect
2,217656,Intersect
2,217661,Intersect
2,217662,Intersect
2,217663,Intersect
2,217664,Intersect
2,217669,Intersect
2,217827,Intersect
2,217828,Intersect
2,218847,Intersect
2,219490,Intersect
2,219491,Intersect
