SPACEPORT_REC_ID,SPACEPORT_NAME,NOTAM_REC_ID
2,Cape Canaveral Air Force Station,94353
2,Cape Canaveral Air Force Station,94354
2,Cape Canaveral Air Force Station,94381
2,Cape Canaveral Air Force Station,94382
2,Cape Canaveral Air Force Station,94383
2,Cape Canaveral Air Force Station,94389
2,Cape Canaveral Air Force Station,94391
2,Cape Canaveral Air Force Station,94392
2,Cape Canaveral Air Force Station,94393
2,Cape Canaveral Air Force Station,94394
2,Cape Canaveral Air Force Station,94395
2,Cape Canaveral Air Force Station,94895
2,Cape Canaveral Air Force Station,95021
2,Cape Canaveral Air Force Station,95024
2,Cape Canaveral Air Force Station,98114
2,Cape Canaveral Air Force Station,100652
2,Cape Canaveral Air Force Station,100654
2,Cape Canaveral Air Force Station,100672
2,Cape Canaveral Air Force Station,100688
2,Cape Canaveral Air Force Station,100689
2,Cape Canaveral Air Force Station,100690
2,Cape Canaveral Air Force Station,100747
2,Cape Canaveral Air Force Station,100748
2,Cape Canaveral Air Force Station,100750
2,Cape Canaveral Air Force Station,100751
2,Cape Canaveral Air Force Station,100752
2,Cape Canaveral Air Force Station,100753
2,Cape Canaveral Air Force Station,101335
2,Cape Canaveral Air Force Station,101337
2,Cape Canaveral Air Force Station,101338
2,Cape Canaveral Air Force Station,104441
2,Cape Canaveral Air Force Station,104442
2,Cape Canaveral Air Force Station,106338
2,Cape Canaveral Air Force Station,106339
2,Cape Canaveral Air Force Station,106340
2,Cape Canaveral Air Force Station,106341
2,Cape Canaveral Air Force Station,106342
2,Cape Canaveral Air Force Station,106343
2,Cape Canaveral Air Force Station,110558
2,Cape Canaveral Air Force Station,110559
2,Cape Canaveral Air Force Station,110560
2,Cape Canaveral Air Force Station,110566
2,Cape Canaveral Air Force Station,110567
2,Cape Canaveral Air Force Station,110569
2,Cape Canaveral Air Force Station,110570
2,Cape Canaveral Air Force Station,110577
2,Cape Canaveral Air Force Station,110581
2,Cape Canaveral Air Force Station,110582
2,Cape Canaveral Air Force Station,110583
2,Cape Canaveral Air Force Station,110585
2,Cape Canaveral Air Force Station,110587
2,Cape Canaveral Air Force Station,110588
2,Cape Canaveral Air Force Station,110589
2,Cape Canaveral Air Force Station,110592
2,Cape Canaveral Air Force Station,111266
2,Cape Canaveral Air Force Station,111267
2,Cape Canaveral Air Force Station,111268
2,Cape Canaveral Air Force Station,111269
2,Cape Canaveral Air Force Station,111270
2,Cape Canaveral Air Force Station,112583
2,Cape Canaveral Air Force Station,112584
2,Cape Canaveral Air Force Station,112751
2,Cape Canaveral Air Force Station,112753
2,Cape Canaveral Air Force Station,112754
2,Cape Canaveral Air Force Station,112763
2,Cape Canaveral Air Force Station,112764
2,Cape Canaveral Air Force Station,112765
2,Cape Canaveral Air Force Station,112766
2,Cape Canaveral Air Force Station,112769
2,Cape Canaveral Air Force Station,112787
2,Cape Canaveral Air Force Station,112788
